date	tic	open	high	low	close	volume
2024-12-31	AMZN	222.97000122070312	223.22999572753906	218.94000244140625	219.38999938964844	24819700
2024-12-31	GOOG	192.44500732421875	193.25	189.5800018310547	190.44000244140625	14355200
2025-01-02	AMZN	222.02999877929688	225.14999389648438	218.19000244140625	220.22000122070312	33956600
2025-01-02	GOOG	191.48500061035156	193.1999969482422	188.7100067138672	190.6300048828125	17545200
2025-01-03	AMZN	222.50999450683594	225.36000061035156	221.6199951171875	224.19000244140625	27515600
2025-01-03	GOOG	192.72500610351562	194.5	191.35000610351562	193.1300048828125	12875000
2025-01-06	AMZN	226.77999877929688	228.83999633789062	224.83999633789062	227.61000061035156	31849800
2025-01-06	GOOG	195.14999389648438	199.55999755859375	195.05999755859375	197.9600067138672	19483300
2025-01-07	AMZN	227.89999389648438	228.3800048828125	221.4600067138672	222.11000061035156	28084200
2025-01-07	GOOG	198.27000427246094	202.13999938964844	195.94000244140625	196.7100067138672	16966800
2025-01-08	AMZN	223.19000244140625	223.52000427246094	220.1999969482422	222.1300048828125	25033300
2025-01-08	GOOG	193.9499969482422	197.63999938964844	193.75	195.38999938964844	14335300
2025-01-10	AMZN	221.4600067138672	221.7100067138672	216.5	218.94000244140625	36811500
2025-01-10	GOOG	195.4199981689453	197.6199951171875	191.60000610351562	193.1699981689453	20753800
2025-01-13	AMZN	218.05999755859375	219.39999389648438	216.47000122070312	218.4600067138672	27262700
2025-01-13	GOOG	191.35000610351562	192.49000549316406	188.66000366210938	192.2899932861328	13169100
2025-01-14	AMZN	220.44000244140625	221.82000732421875	216.1999969482422	217.75999450683594	24711700
2025-01-14	GOOG	192.5	193.27000427246094	189.63999938964844	191.0500030517578	13651200
2025-01-15	AMZN	222.8300018310547	223.57000732421875	220.75	223.35000610351562	31291300
2025-01-15	GOOG	194.35000610351562	197.8000030517578	193.3300018310547	196.97999572753906	12894900
2025-01-16	AMZN	224.4199981689453	224.64999389648438	220.30999755859375	220.66000366210938	24757300
2025-01-16	GOOG	195.8249969482422	196.97999572753906	194.3000030517578	194.41000366210938	13449600
2025-01-17	AMZN	225.83999633789062	226.50999450683594	223.0800018310547	225.94000244140625	42370100
2025-01-17	GOOG	198.0500030517578	198.80999755859375	195.30999755859375	197.5500030517578	22109100
2025-01-21	AMZN	228.89999389648438	231.77999877929688	226.94000244140625	230.7100067138672	39951500
2025-01-21	GOOG	200.50999450683594	203.83999633789062	199.44000244140625	199.6300048828125	19005200
2025-01-22	AMZN	232.02000427246094	235.44000244140625	231.19000244140625	235.00999450683594	41448200
2025-01-22	GOOG	200.5500030517578	202.1199951171875	199.1999969482422	200.02999877929688	15477400
2025-01-23	AMZN	234.10000610351562	235.52000427246094	231.50999450683594	235.4199981689453	26404400
2025-01-23	GOOG	199.97999572753906	201.94000244140625	196.82000732421875	199.5800018310547	15170800
2025-01-24	AMZN	234.5	236.39999389648438	232.92999267578125	234.85000610351562	25890700
2025-01-24	GOOG	199.85000610351562	202.57000732421875	199.78399658203125	201.89999389648438	12732400
2025-01-27	AMZN	226.2100067138672	235.61000061035156	225.86000061035156	235.4199981689453	49428300
2025-01-27	GOOG	194.19000244140625	198.6699981689453	192.6999969482422	193.77000427246094	24970200
2025-01-28	AMZN	234.2899932861328	241.77000427246094	233.97999572753906	238.14999389648438	41558100
2025-01-28	GOOG	194.64999389648438	197.22999572753906	192.61000061035156	197.07000732421875	15930300
2025-01-29	AMZN	239.01499938964844	240.36000061035156	236.5500030517578	237.4250030517578	9642030
2025-01-29	GOOG	197.36000061035156	198.0399932861328	195.19000244140625	196.67999267578125	4183160
